title,field_lengdegrad,field_breddegrad,field_skolenavn,field_epostadresse,field_postnummer_skole,field_post,field_webside
Node 45,10.7292981998636,59.95014628698279,Blindern videregående skole,postmottak@oslo.kommune.no,855,OSLO,blindern.vgs.no
Node 46,14.5537492356636,67.28557629834371,Bodin videregående skole,post@nfk.no,8026,BODØ,www.bodin.vgs.no
Node 47,14.384777124704799,67.27840459616,Bodø videregående skole,post@nfk.no,8005,BODØ,www.bodo.vgs.no
Node 48,11.174259014288001,59.2657705939476,Borg videregående skole,post@viken.no,1739,BORGENHAUGEN,www.Borg.vgs.no/
Node 49,6.37330467287509,62.4684352469252,Borgund vidaregåande skole,post@mrfylke.no,6011,ÅLESUND,www.borgund.vgs.no/
Node 50,18.9643212327964,69.6779144122971,Breivang videregående skole,postmottak@tffk.no,9010,TROMSØ,www.breivang.vgs.no
Node 51,10.2513762146481,59.7683791900128,Briskeby videregående skole AS,post.vgs@hlfbriskeby.no,3402,LIER,hlfbriskeby.no
Node 52,10.4754593837335,63.42084410696529,Brundalen videregående skole,postmottak@trondelagfylke.no,7047,TRONDHEIM,
Node 53,5.650211460277981,58.732356247279604,Bryne vidaregåande skule,firmapost@rogfk.no,4344,BRYNE,www.bryne.vgs.no/
Node 54,12.212042552265197,65.46803805416121,Brønnøysund videregående skole,post@nfk.no,8900,BRØNNØYSUND,www.brsund.vgs.no
Node 55,9.93128073458236,59.8949221833948,Buskerud videregående skole,post@viken.no,3340,ÅMOT,www.rosthaug.vgs.no/
Node 56,10.400365496771801,63.4289959617548,Bybroen videregående skole AS,post@bybroen.vgs.no,7013,TRONDHEIM,www.bybroen.vgs.no
Node 57,7.407797511840269,58.4268038811378,Byremo videregående skole,postmottak@agderfk.no,4529,BYREMO,www.byremo.vgs.no
Node 58,10.3637570175849,63.3953835393822,Byåsen videregående skole,postmottak@trondelagfylke.no,7027,TRONDHEIM,byasen.vgs.no
Node 59,9.062987436795321,59.417131238368995,Bø vidaregåande skule,post@vtfk.no,3802,BØ I TELEMARK,www.bo.vgs.no/
Node 60,5.18949746197044,59.794179141020095,Bømlo vidaregåande skule,post@vlfk.no,5430,BREMNES,skole.hfk.no/bomlovgs
Node 61,29.717717480864,70.6330321952353,Båtsfjord Private videregående skole AS,oeyvhauk@bpvsas.onmicrosoft.com,9990,BÅTSFJORD,www.bpvsas.com
Node 62,29.717717480864,70.6330321952353,Båtsfjord videregående skole,postmottak@batsfjord.kommune.no,9990,BÅTSFJORD,www.batsfjord.vgs.no
Node 63,10.4864021876781,63.4196678807455,Charlottenlund videregående skole,postmottak@trondelagfylke.no,7058,JAKOBSLI,www.charlottenlund.vgs.no
Node 64,10.4666516542659,61.1160107605346,Create - Lillehammer Kreative videregående skole AS,bjarne.nyrud@create.no,2609,LILLEHAMMER,www.create.no
Node 65,8.57795856717728,58.3379172631366,Dahlske videregående skole,postmottak@agderfk.no,4877,GRIMSTAD,www.dahlske.vgs.no
Node 66,6.01064692034432,58.4647997925831,Dalane videregående skole,firmapost@rogfk.no,4373,EGERSUND,www.dalane.vgs.no
Node 67,5.397864874688199,61.3597249877492,Dale vidaregåande skule,post@vlfk.no,6963,DALE I SUNNFJORD,www.dale.vgs.no/
Node 68,5.3309517706962,60.392709332191295,Danielsen Intensivgymnas,intensivgymnaset@danielsen-skoler.no,5017,BERGEN,www.danielsen-skoler.no/intensiv
Node 69,5.33068270513029,60.3929986672167,Danielsen videregående skole,danadm@danielsen-skoler.no,5017,BERGEN,www.danielsen-skoler.no
Node 70,10.7256859469258,59.92509943280189,Den Tysk-Norske Skolen i Oslo,sekretariat@deutsche-schule.no,354,OSLO,www.deutscheschule.no
Node 71,10.080375948707198,60.838845995624396,Dokka videregående skole,,2870,DOKKA,www.dokka.vgs.no/
Node 72,10.198225503672301,59.7372832351575,Drammen videregående skole,post@viken.no,3045,DRAMMEN,www.drammen.vgs.no
Node 73,8.64152276168177,58.34851201385511,Drottningborg Vgs AS,post@drottningborg.vgs.no,4885,GRIMSTAD,www.drottningborg.vgs.no/
Node 74,10.867014792461697,59.71573323504229,Drømtorp videregående skole,post@viken.no,1400,SKI,www.dromtorp.vgs.no
Node 75,10.5066175507378,59.9067789802361,Dønski videregående skole,post@viken.no,1346,GJETTUM,www.donski.vgs.no
Node 76,10.7435606496697,59.918631171427,Edvard Munch videregående skole,postmottak@oslo.kommune.no,165,OSLO,edvardmunch.vgs.no
Node 77,5.98324973796839,61.9135481028756,Eid vidaregåande skule,post@vlfk.no,6770,NORDFJORDEID,www.eid.vgs.no
Node 78,11.263110051003402,60.337113231356604,Eidsvoll videregående skole,post@viken.no,2080,EIDSVOLL,www.eidsvoll.vgs.no/
Node 79,10.601641103669,59.9361844653882,Eikeli videregående skole,post@viken.no,1362,HOSLE,www.eikeli.vgs.no/
Node 80,10.7640246098326,59.9502971703357,Eikelund videregående skole,postmottak@oslo.kommune.no,484,OSLO,eikelund.vgs.no
Node 81,9.903880028882421,59.7731786082893,Eiker videregående skole,post@viken.no,3300,HOKKSUND,www.eiker.vgs.no/
Node 82,7.0667703774321,58.135237764364796,Eilert Sundt videregående skole,postmottak@agderfk.no,4580,LYNGDAL,eilertsundt.vgs.no
Node 83,6.68880642387519,58.0935714904907,Eilert Sundt videregående skole,postmottak@agderfk.no,4560,VANSE,eilertsundt.vgs.no
Node 84,6.804476724345631,58.0932903725335,Eilert Sundt videregående skole,postmottak@agderfk.no,4550,FARSUND,eilertsundt.vgs.no
Node 85,10.7529182973868,59.9190010441036,Elvebakken videregående skole,postmottak@oslo.kommune.no,182,OSLO,elvebakken.vgs.no
Node 86,11.5633844179371,60.8770256419304,Elverum videregående skole,,2414,ELVERUM,www.elverum.vgs.no/
Node 87,10.796447645420802,59.9096805428209,Etterstad videregående skole,postmottak@oslo.kommune.no,660,OSLO,etterstad.vgs.no
Node 88,10.8134091835321,59.4650876950299,Evangeliesenterets Bibelskole,post@ebsbibelskole.no,1591,SPERREBOTN,www.ebsbibelskole.no
Node 89,6.22824033573564,62.4743732210818,Fagerlia videregående skole,post@mrfylke.no,6009,ÅLESUND,www.fagerlia.vgs.no/
Node 90,5.731091033363611,58.964849238557605,Fagopplæringen i Rogaland,firmapost@rogfk.no,4010,STAVANGER,
Node 91,5.30621876242167,60.3981097272947,Fagskolen i Hordaland,post@vlfk.no,5005,BERGEN,www.tekniken.no
Node 92,7.14126610364031,62.7344967976581,Fannefjord videregående skole,post@mrfylke.no,6412,MOLDE,www.fannefjord.vgs.no/
Node 93,15.375248846851802,67.2626057023205,Fauske videregående skole,post@nfk.no,8207,FAUSKE,www.fauske.vgs.no
Node 94,10.7374427482129,59.9178112007865,Filadelfia Bibelskole,bibelskolen@filadelfia.no,166,OSLO,www.fbo.no
Node 95,6.22051353145815,61.773878937021706,Firda vidaregåande skule,post@vlfk.no,6823,SANDANE,firda.vgs.no/
Node 96,5.32093110913861,59.9202984112247,Fitjar vidaregåande skule,post@vlfk.no,5419,FITJAR,skole.hfk.no/fitjarvgs
Node 97,10.785487487697802,59.9298717467706,Fjellhaug Bibelskole,bibelskolen@fjellhaug.no,572,OSLO,www.fjellhaug.no
Node 98,18.9308674587996,69.6386898362084,Fjellheim Bibelskole,post@fjellheimbibelskole.no,9006,TROMSØ,www.fjellheimbibelskole.no
Node 99,6.66540974911391,58.30409688196671,Flekkefjord videregående skole,postmottak@agderfk.no,4405,FLEKKEFJORD,flekkefjord.vgs.no
Node 100,6.957452922635599,58.3152763768847,Flekkefjord videregående skole,postmottak@agderfk.no,4480,KVINESDAL,flekkefjord.vgs.no
Node 101,5.0435534920024,61.593895113757604,Flora vidaregåande skule,post@vlfk.no,6906,FLORØ,www.flora.vgs.no
Node 102,9.819353921408538,63.7657098259832,Fosen videregående skole,postmottak@trondelagfylke.no,7160,BJUGN,www.fosen.vgs.no
Node 103,10.7554360153644,59.9270419432455,Foss videregående skole,postmottak@oslo.kommune.no,554,OSLO,foss.vgs.no
Node 104,6.182859509307019,60.34976694574139,Framnes Kristne vidaregåande skule,postmottak@framnes.vgs.no,5600,NORHEIMSUND,www.framnes.vgs.no
Node 105,10.925685944603,59.2236314283371,Frederik Ii videregående skole,post@viken.no,1613,FREDRIKSTAD,www.frederikii.vgs.no/
Node 106,10.660596821579801,59.692402140126,Frogn videregående skole,post@viken.no,1449,DRØBAK,
Node 107,7.1543637452774105,62.8547841514182,Fræna vidaregåande skole,post@mrfylke.no,6440,ELNESVÅGEN,www.frana.vgs.no
Node 108,6.88863466160541,62.808029747923406,Fræna vidaregåande skule,post@mrfylke.no,6480,AUKRA,
Node 109,5.74872973529448,60.2389659568408,Fusa vidaregåande skule,post@vlfk.no,5640,EIKELANDSOSEN,skole.hfk.no/fusavgs
Node 110,5.28765596534075,60.3474358260823,Fyllingsdalen videregående skole,post@vlfk.no,5143,FYLLINGSDALEN,skole.hfk.no/fyllingsdalenvgs
Node 111,10.7943256493165,59.915255552852706,Fyrstikkalleen skole,postmottak@oslo.kommune.no,661,OSLO,f21.vgs.no
Node 112,10.4104372875824,59.2610951009015,Færder videregående skole,post@vtfk.no,3127,TØNSBERG,ferdervgs.vtfk.no/
Node 113,5.73655778677191,58.8470164911071,Gand videregående skole,firmapost@rogfk.no,4306,SANDNES,www.gand.vgs.no
Node 114,7.172828065802141,62.739718857565606,Garno AS,petter@alvik.as,6415,MOLDE,
Node 115,10.2874060603817,63.0361324934802,Gauldal videregående skole,postmottak@trondelagfylke.no,7290,STØREN,www.gauldal.vgs.no
Node 116,10.213113054167,61.2247703235495,Gausdal videregående skole,,2651,ØSTRE GAUSDAL,www.gausdal.vgs.no/
Node 117,10.273983055547,59.2303177712583,Gjennestad videregående skole,post@gjennestadvgs.no,3160,STOKKE,www.gjennestadvgs.no
Node 118,10.678432268689999,60.80272297816379,Gjøvik videregående skole,,2819,GJØVIK,www.gjovik.vgs.no/
Node 119,10.941821749995,59.21893598081571,Glemmen videregående skole,post@viken.no,1605,FREDRIKSTAD,www.glemmen.vgs.no/
Node 120,5.75185343737445,58.9537669656908,Godalen videregående skole,firmapost@rogfk.no,4015,STAVANGER,www.godalen.vgs.no
Node 121,8.943763605031231,60.7027470186625,Gol vidaregåande skule,post@viken.no,3550,GOL,www.gol.vgs.no/
Node 122,10.415090859018699,59.28730252497189,Greveskogen videregående skole,post@vtfk.no,3122,TØNSBERG,nyweb.vfk.no/skoler/greveskogen-vgs/
Node 123,11.0281127722789,59.2758194966068,Greåker videregående skole,post@viken.no,1719,GREÅKER,www.greaker.vgs.no
Node 124,12.313748779393102,64.4617928821325,Grong videregående skole,postmottak@trondelagfylke.no,7870,GRONG,www.grong.vgs.no/
Node 125,10.576804881451,60.3552624832304,Hadeland videregående skole,,2750,GRAN,www.hadeland.vgs.no
Node 126,14.9096607149213,68.5667050725287,Hadsel videregående skole,post@nfk.no,8450,STOKMARKNES,www.hadsel.vgs.no
Node 127,5.86422227496448,61.4499062843911,Hafstad videregående skule,post@vlfk.no,6800,FØRDE,www.hafstad.vgs.no/
Node 128,11.394400726291302,59.1255095227751,Halden videregående skole,post@viken.no,1772,HALDEN,www.ostfold-f.kommune.no
Node 129,11.0542572159981,60.80586275388289,Hamar katedralskole,,2315,HAMAR,www.hamar-katedral.vgs.no/
Node 130,23.6636318315587,70.67067110576791,Hammerfest videregående skole,postmottak@tffk.no,9601,HAMMERFEST,www.hammerfest.vgs.no
Node 131,9.245249692799302,61.988305785891896,Handverksskolen AS,post@hjerleid.no,2662,DOVRE,www.hjerleid.no
Node 132,10.9385998524983,59.2117418578181,Hans Nielsen Hauge videregående skole,post@hnhvgs.no,1606,FREDRIKSTAD,hnh.vgs.no
Node 133,6.4406842677229905,62.595092889032,Haram vidaregåande skule,post@mrfylke.no,6270,BRATTVÅG,www.haram.vgs.no/
Node 134,6.926709895438429,60.5620234969879,Hardanger Produksjonsskule,post@vlfk.no,5730,ULVIK,skole.hfk.no/hjeltnesvgs
Node 135,10.7166360564858,59.9185786790625,Hartvig Nissens skole,postmottak@oslo.kommune.no,259,OSLO,hartvig-nissen.vgs.no
Node 136,5.291156389652469,59.4095375495576,Haugaland videregående skole,firmapost@rogfk.no,5531,HAUGESUND,www.haugaland.vgs.no
Node 137,5.26195772209785,59.37467026501329,Hauge videregående skole,post@abr-vgs.no,4260,TORVASTAD,www.abr-vgs.com
Node 138,5.274313704621781,59.4257594662731,Haugesund Toppidrettsgymnas AS,adm@htg.vgs.no,5518,HAUGESUND,www.htg.vgs.no
Node 139,10.862604331800599,59.9232993506879,Haukåsen skole,postmottak@oslo.kommune.no,675,OSLO,haukasen.osloskolen.no/
Node 140,12.1337719046246,65.46980894892671,Havbruksakademiet AS,post@havbruksakademiet.com,8909,BRØNNØYSUND,www.havbruksakademiet.com
Node 141,16.5252075362815,68.7938519642952,Heggen videregående skole,postmottak@tffk.no,9406,HARSTAD,www.heggen.vgs.no
Node 142,10.3525711519605,63.365937804875095,Heimdal videregående skole,postmottak@trondelagfylke.no,7078,SAUPSTAD,www.heimdal.vgs.no
Node 143,10.840193530148001,59.914389815925595,Hellerud videregående skole,postmottak@oslo.kommune.no,671,OSLO,hellerud.vgs.no
Node 144,11.1026687854191,60.7774219806456,Helsepedagogisk Steinerskole på Hedemarken,hedemarken@steinerskolen.no,2312,OTTESTAD,www.hedemarken.steinerskolen.no
Node 145,10.7324157657604,59.94909584993339,Heltberg Private gymnas,post@heltberg.oslo.no,855,OSLO,www.heltberg.no/
Node 146,10.7317909263016,59.9234478358823,Heltberg Private gymnas Bislett AS,bislett@heltberg.no,167,OSLO,www.heltberg.no
Node 147,10.1715685022047,59.7487314653549,Heltberg Private gymnas Drammen AS,drammen@heltberg.no,3023,DRAMMEN,www.heltberg.no
Node 148,10.7640345053082,59.9181252941317,Hersleb videregående skole,postmottak@oslo.kommune.no,561,OSLO,hersleb.vgs.no
Node 149,5.638209063682719,62.33452668863521,Herøy vidaregåande skule,post@mrfylke.no,6091,FOSNAVÅG,www.heroy.vgs.no/
Node 150,5.737303295990889,58.934304762716295,Hetland videregående skole,firmapost@rogfk.no,4017,STAVANGER,www.hetland.vgs.no
Node 151,9.59660222079697,59.185829979595795,Hjalmar Johansen videregående skole,post@vtfk.no,3733,SKIEN,www.hjalmarjohansen.vgs.no
Node 152,10.4874622576248,59.865934776309096,Holmen skole,post@viken.no,1396,BILLINGSTAD,www.holmen.vgs.no/
Node 153,10.2886063838009,59.4829338088554,Holmestrand videregående skole,post@vtfk.no,3085,HOLMESTRAND,hsvs.vtfk.no/
Node 154,10.7856412325815,59.8854470067265,Holtet videregående skole,postmottak@oslo.kommune.no,1178,OSLO,holtet.vgs.no
Node 155,5.22200284913886,60.4660393558805,Hop videregående skole AS,post@hopvgskole.no,5307,ASK,www.hopvgskole.no
Node 156,11.182659954985,60.15227466270039,Hoppensprett Akademiet Vgs Jessheim AS,,2069,JESSHEIM,
Node 157,10.488199734320402,59.4208384809783,Horten videregående skole,post@vtfk.no,3183,HORTEN,www.vfk.no/Horten-vgs/
Node 158,11.3754422021018,60.104282884168605,Hvam videregående skole,post@viken.no,2165,HVAM,www.hvam.vgs.no/
Node 159,5.33257086195252,60.3865702118711,Hyssingen Produksjonsskole,post@vlfk.no,5008,BERGEN,
Node 160,10.2552784432406,60.1573210214296,Hønefoss videregående skole,post@viken.no,3511,HØNEFOSS,www.honefoss.vgs.no/
Node 161,6.08028480396842,61.221330716314,Høyanger vidaregåande skule,post@vlfk.no,6993,HØYANGER,www.hoyanger.vgs.no/
Node 162,11.286290035185699,63.8772918061391,Inderøy videregående skole,postmottak@trondelagfylke.no,7670,INDERØY,inderoy.vgs.no/
Node 163,5.65417028981866,58.9500544897495,International School Of Stavanger,info@isstavanger.no,4043,HAFRSFJORD,www.isstavanger.no
Node 164,18.9812221670683,69.67968810821979,Ishavsbyen videregående skole,postmottak@tffk.no,9019,TROMSØ,www.ishavsbyen.vgs.no/
Node 165,11.144424947188302,60.070630500806296,Jessheim videregående skole,post@viken.no,2040,KLØFTA,
Node 166,11.1624549532022,60.146078665933196,Jessheim videregående skole,post@viken.no,2066,JESSHEIM,www.jessheim.vgs.no
Node 167,10.6204684510735,63.6772747721066,Johan Bojer videregående skole,postmottak@trondelagfylke.no,7120,LEKSVIK,www.leksvik.vgs.no/
Node 168,10.0733629,63.629702,Johan Bojer videregående skole,postmottak@trondelagfylke.no,7100,RISSA,www.rissa.vgs.no
Node 169,11.207907663998801,60.7514182044469,Jønsberg videregående skole,,2335,STANGE,www.jonsberg.vgs.no
Node 170,5.72784486327953,58.9135649395572,Jåttå videregående skole,firmapost@rogfk.no,4020,STAVANGER,jaattaa.vgs.no
Node 171,11.046888564812699,59.314619624577595,Kalnes videregående skole,post@viken.no,1712,GRÅLUM,www.kalnes.vgs.no
Node 172,5.283198770217,59.400744334594094,Karmsund videregående skole,firmapost@rogfk.no,5529,HAUGESUND,www.karmsund.vgs.no
Node 173,29.997556705377,69.6880943940461,Kirkenes videregående skole,postmottak@tffk.no,9912,HESSENG,www.kirkenes.vgs.no
Node 174,10.6632427797766,59.435248575972096,Kirkeparken videregående skole,post@viken.no,1530,MOSS,www.kirkeparken.vgs.no/
Node 175,10.7370581766643,59.936935930021704,Kirkeveien videregående skole,postmottak@oslo.kommune.no,450,OSLO,
Node 176,5.11155001825,61.937322646161796,Klokkergårdstiftelsen,,6700,MÅLØY,www.klokkergarden.no
Node 177,5.28198286982204,60.5502543904885,Knarvik vidaregåande skule,post@vlfk.no,5916,ISDALSTØ,skole.hfk.no/knarvikvgs
Node 178,15.6206067201793,68.0839150793254,Knut Hamsun videregående skole,post@nfk.no,8294,HAMARØY,www.hamsun.vgs.no/
Node 179,10.399596748676302,59.2742131882462,Kompetansebyggeren,post@vtfk.no,3111,TØNSBERG,www.kompetansebyggeren.no
Node 180,18.948992699235802,69.6498714691111,Kongsbakken videregående skole,postmottak@tffk.no,9008,TROMSØ,www.kongsbakken.vgs.no
Node 181,9.647671938576009,59.6694634571258,Kongsberg videregående skole,post@viken.no,3611,KONGSBERG,www.kongsberg.vgs.no
Node 182,5.38533935817194,60.151289474342896,Kongshaug Musikkgymnas,orotvik@kongshaug.no,5216,LEPSØY,www.kongshaug.no
Node 183,10.758245315757899,59.897386237587604,Kongshavn videregående skole,postmottak@oslo.kommune.no,193,OSLO,kongshavn.vgs.no
Node 184,10.789915380402501,59.9147407297153,Kongsskogen videregående skole,postmottak@oslo.kommune.no,661,OSLO,kongsskogen.vgs.no
Node 185,10.373879957483599,59.806602240728296,Kongsskogen videregående skole,postmottak@oslo.kommune.no,1385,ASKER,
Node 186,5.28347172339419,59.2804768145645,Kopervik videregående skole,firmapost@rogfk.no,4250,KOPERVIK,kopervik.vgs.no/
Node 187,9.40858289139064,58.864607020003604,Kragerø kunstskole AS,rektor@kragerokunstskole.no,3770,KRAGERØ,www.kragerokunstskole.no
Node 188,9.39179029861128,58.8714485512096,Kragerø videregående skole,post@vtfk.no,3772,KRAGERØ,www.kragero.vgs.no/
Node 189,10.7295372196524,59.923809697666705,Kristelig gymnasium,kg@kg.vgs.no,352,OSLO,www.kg.vgs.no/
Node 190,7.96451720070733,58.251715507260506,Kristen Vgs Vennesla AS,post@kv.vgs.no,4708,VENNESLA,www.kv.vgs.no
Node 191,5.31120213540702,59.3821422996352,Kristen videregående skole Haugalandet AS,rektor@kvh.vgs.no,5542,KARMSUND,kvh.vgs.no
Node 192,10.3815970647744,63.360096546402204,Kristen videregående skole Trøndelag,kvt@kvt.vgs.no,7075,TILLER,www.kvt.vgs.no
Node 193,8.01043600558352,58.1599562899377,Kristiansand katedralskole Gimle,postmottak@agderfk.no,4630,KRISTIANSAND S,www.kkg.vgs.no
Node 194,7.71947477392732,63.1201417588972,Kristiansund videregående skole,post@mrfylke.no,6514,KRISTIANSUND N,www.krsund.vgs.no/
Node 195,5.287642301282941,60.2229467554475,Krokeide videregående skole AS,firmapost@krokeide.vgs.no,5244,FANA,www.krokeide.vgs.no
Node 196,10.816307003749401,59.927335714377,Kuben videregående skole,postmottak@oslo.kommune.no,580,OSLO,kuben.vgs.no
Node 197,10.816307003749401,59.927335714377,Kuben Yrkesarena,postmottak@oslo.kommune.no,580,OSLO,kuben.vgs.no
Node 198,8.0021171142863,58.1493371701261,Kvadraturen videregående skole,postmottak@agderfk.no,4614,KRISTIANSAND S,www.kvadraturen.vgs.no
Node 199,18.7916887765645,69.684629764277,Kvaløya videregående skole,postmottak@tffk.no,9104,KVALØYA,www.kvaloya.vgs.no
Node 200,6.19280557177979,60.387801287048795,Kvam vidaregåande skule,post@vlfk.no,5610,ØYSTESE,skole.hfk.no/oystesegymnas
Node 201,5.74275703707475,59.85058690729879,Kvinnherad vidaregåande skule,post@vlfk.no,5460,HUSNES,skole.hfk.no/kvinnheradvgs
Node 202,8.52013044073292,59.381349420611706,Kvitsund gymnas,admin@kvitsund.vgs.no,3850,KVITESEID,www.kvitsund.vgs.no
Node 203,7.802804741870349,58.8310270217544,Kvs-Bygland AS,post@kvs-bygland.no,4745,BYGLAND,www.kvs-bygland.no
Node 204,7.05023842651024,58.1242526754527,Kvs-Lyngdal AS,post@kvs-lyngdal.no,4580,LYNGDAL,kvslyngdal.no
Node 205,9.080642662873132,63.29125316398171,Kyrksæterøra videregående skole,postmottak@trondelagfylke.no,7200,KYRKSÆTERØRA,www.hemne.vgs.no/
Node 206,24.971113869575802,70.0490854114847,Lakselv videregående skole,postmottak@tffk.no,9700,LAKSELV,www.lakselv.vgs.no
Node 207,5.26806111252167,60.384042609937204,Laksevåg videregående skole,post@vlfk.no,5165,LAKSEVÅG,skole.hfk.no/laksevagvgs
